Java HotSpot(TM) 64-Bit Server VM (25.161-b12) for windows-amd64 JRE (1.8.0_161-b12), built on Dec 19 2017 17:52:25 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33469572k(19725088k free), swap 33469572k(16423768k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2018-03-03T23:53:22.846+0300: 47.534: [GC (Allocation Failure) 2018-03-03T23:53:22.846+0300: 47.534: [DefNew: 138387K->9678K(157248K), 0.0186648 secs] 193335K->66024K(506816K), 0.0187445 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:22.922+0300: 47.610: [GC (Allocation Failure) 2018-03-03T23:53:22.922+0300: 47.610: [DefNew: 149454K->9527K(157248K), 0.0354145 secs] 205800K->83295K(506816K), 0.0355143 secs] [Times: user=0.02 sys=0.02, real=0.04 secs] 
2018-03-03T23:53:23.020+0300: 47.708: [GC (Allocation Failure) 2018-03-03T23:53:23.021+0300: 47.708: [DefNew: 149303K->9522K(157248K), 0.0244077 secs] 223071K->84688K(506816K), 0.0245393 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2018-03-03T23:53:23.114+0300: 47.802: [GC (Allocation Failure) 2018-03-03T23:53:23.114+0300: 47.802: [DefNew: 149298K->9525K(157248K), 0.0230445 secs] 224464K->86088K(506816K), 0.0231536 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:38.205+0300: 62.892: [GC (Allocation Failure) 2018-03-03T23:53:38.205+0300: 62.893: [DefNew: 149301K->9528K(157248K), 0.0214343 secs] 225864K->87488K(506816K), 0.0215851 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:38.295+0300: 62.983: [GC (Allocation Failure) 2018-03-03T23:53:38.295+0300: 62.983: [DefNew: 149304K->9643K(157248K), 0.0218916 secs] 227264K->89001K(506816K), 0.0220010 secs] [Times: user=0.02 sys=0.02, real=0.02 secs] 
2018-03-03T23:53:38.387+0300: 63.075: [GC (Allocation Failure) 2018-03-03T23:53:38.387+0300: 63.075: [DefNew: 149419K->9644K(157248K), 0.0197174 secs] 228777K->90399K(506816K), 0.0198697 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:38.475+0300: 63.162: [GC (Allocation Failure) 2018-03-03T23:53:38.475+0300: 63.162: [DefNew: 149420K->9751K(157248K), 0.0219820 secs] 230175K->91799K(506816K), 0.0220854 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:38.572+0300: 63.260: [GC (Allocation Failure) 2018-03-03T23:53:38.572+0300: 63.260: [DefNew: 149527K->9914K(157248K), 0.0191210 secs] 231575K->93199K(506816K), 0.0192457 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:38.664+0300: 63.352: [GC (Allocation Failure) 2018-03-03T23:53:38.665+0300: 63.352: [DefNew: 149690K->9902K(157248K), 0.0183860 secs] 232975K->94585K(506816K), 0.0185323 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:38.751+0300: 63.438: [GC (Allocation Failure) 2018-03-03T23:53:38.751+0300: 63.438: [DefNew: 149678K->9905K(157248K), 0.0239636 secs] 234361K->95985K(506816K), 0.0240796 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:38.852+0300: 63.540: [GC (Allocation Failure) 2018-03-03T23:53:38.852+0300: 63.540: [DefNew: 149681K->9907K(157248K), 0.0199343 secs] 235761K->97385K(506816K), 0.0200254 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:38.943+0300: 63.631: [GC (Allocation Failure) 2018-03-03T23:53:38.943+0300: 63.631: [DefNew: 149683K->9790K(157248K), 0.0200692 secs] 237161K->98784K(506816K), 0.0201729 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:39.034+0300: 63.721: [GC (Allocation Failure) 2018-03-03T23:53:39.034+0300: 63.722: [DefNew: 149566K->9795K(157248K), 0.0214147 secs] 238560K->100187K(506816K), 0.0215148 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:39.124+0300: 63.812: [GC (Allocation Failure) 2018-03-03T23:53:39.124+0300: 63.812: [DefNew: 149571K->9798K(157248K), 0.0206038 secs] 239963K->101587K(506816K), 0.0207068 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:54.210+0300: 78.898: [GC (Allocation Failure) 2018-03-03T23:53:54.210+0300: 78.898: [DefNew: 149574K->9787K(157248K), 0.0222194 secs] 241363K->102974K(506816K), 0.0223128 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:54.293+0300: 78.981: [GC (Allocation Failure) 2018-03-03T23:53:54.293+0300: 78.981: [DefNew: 149563K->9559K(157248K), 0.0447462 secs] 242750K->128180K(506816K), 0.0448441 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2018-03-03T23:53:54.401+0300: 79.089: [GC (Allocation Failure) 2018-03-03T23:53:54.401+0300: 79.089: [DefNew: 149335K->9562K(157248K), 0.0216260 secs] 267956K->129580K(506816K), 0.0217248 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:54.491+0300: 79.178: [GC (Allocation Failure) 2018-03-03T23:53:54.491+0300: 79.178: [DefNew: 149338K->9564K(157248K), 0.0221082 secs] 269356K->130980K(506816K), 0.0222197 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:54.580+0300: 79.268: [GC (Allocation Failure) 2018-03-03T23:53:54.581+0300: 79.268: [DefNew: 149340K->9566K(157248K), 0.0232356 secs] 270756K->132381K(506816K), 0.0233510 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:54.673+0300: 79.361: [GC (Allocation Failure) 2018-03-03T23:53:54.674+0300: 79.361: [DefNew: 149342K->9569K(157248K), 0.0206744 secs] 272157K->133781K(506816K), 0.0207844 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:54.764+0300: 79.452: [GC (Allocation Failure) 2018-03-03T23:53:54.764+0300: 79.452: [DefNew: 149345K->9572K(157248K), 0.0218997 secs] 273557K->135181K(506816K), 0.0220307 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:54.859+0300: 79.547: [GC (Allocation Failure) 2018-03-03T23:53:54.859+0300: 79.547: [DefNew: 149348K->9559K(157248K), 0.0232551 secs] 274957K->136566K(506816K), 0.0233552 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:54.948+0300: 79.636: [GC (Allocation Failure) 2018-03-03T23:53:54.948+0300: 79.636: [DefNew: 149335K->9786K(157248K), 0.0191450 secs] 276342K->137966K(506816K), 0.0192496 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:55.033+0300: 79.721: [GC (Allocation Failure) 2018-03-03T23:53:55.033+0300: 79.721: [DefNew: 149562K->9786K(157248K), 0.0215433 secs] 277742K->139363K(506816K), 0.0216308 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:55.121+0300: 79.809: [GC (Allocation Failure) 2018-03-03T23:53:55.121+0300: 79.809: [DefNew: 149562K->9789K(157248K), 0.0189163 secs] 279139K->140763K(506816K), 0.0190206 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:10.212+0300: 94.899: [GC (Allocation Failure) 2018-03-03T23:54:10.212+0300: 94.900: [DefNew: 149565K->9791K(157248K), 0.0232831 secs] 280539K->142163K(506816K), 0.0233900 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:10.302+0300: 94.990: [GC (Allocation Failure) 2018-03-03T23:54:10.302+0300: 94.990: [DefNew: 149567K->9793K(157248K), 0.0214388 secs] 281939K->143563K(506816K), 0.0215364 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:10.398+0300: 95.085: [GC (Allocation Failure) 2018-03-03T23:54:10.398+0300: 95.085: [DefNew: 149569K->9796K(157248K), 0.0197390 secs] 283339K->144963K(506816K), 0.0198424 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:54:10.482+0300: 95.170: [GC (Allocation Failure) 2018-03-03T23:54:10.482+0300: 95.170: [DefNew: 149572K->9783K(157248K), 0.0250174 secs] 284739K->146348K(506816K), 0.0251282 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
