Java HotSpot(TM) 64-Bit Server VM (25.161-b12) for windows-amd64 JRE (1.8.0_161-b12), built on Dec 19 2017 17:52:25 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33469572k(19482664k free), swap 33469572k(15755360k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC -XX:+UseParallelOldGC 
2018-03-03T23:57:39.497+0300: 63.001: [GC (Allocation Failure) [PSYoungGen: 161440K->1728K(166912K)] 252337K->94233K(516608K), 0.0243632 secs] [Times: user=0.23 sys=0.00, real=0.03 secs] 
2018-03-03T23:57:39.588+0300: 63.092: [GC (Allocation Failure) [PSYoungGen: 161472K->1696K(167936K)] 253977K->95833K(517632K), 0.0233188 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2018-03-03T23:57:39.684+0300: 63.189: [GC (Allocation Failure) [PSYoungGen: 162464K->1728K(167424K)] 256601K->97481K(517120K), 0.0245411 secs] [Times: user=0.22 sys=0.00, real=0.03 secs] 
2018-03-03T23:57:39.779+0300: 63.283: [GC (Allocation Failure) [PSYoungGen: 162496K->1728K(168448K)] 258249K->99121K(518144K), 0.0246941 secs] [Times: user=0.19 sys=0.00, real=0.02 secs] 
2018-03-03T23:57:39.871+0300: 63.375: [GC (Allocation Failure) [PSYoungGen: 164032K->1728K(168448K)] 261425K->100753K(518144K), 0.0242091 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2018-03-03T23:57:39.963+0300: 63.467: [GC (Allocation Failure) [PSYoungGen: 164032K->1728K(168960K)] 263057K->102409K(518656K), 0.0235538 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2018-03-03T23:57:55.056+0300: 78.560: [GC (Allocation Failure) [PSYoungGen: 165056K->1728K(168960K)] 265737K->104057K(518656K), 0.0234856 secs] [Times: user=0.19 sys=0.00, real=0.02 secs] 
2018-03-03T23:57:55.145+0300: 78.649: [GC (Allocation Failure) [PSYoungGen: 165056K->1504K(169472K)] 267385K->129526K(519168K), 0.0313443 secs] [Times: user=0.20 sys=0.02, real=0.03 secs] 
2018-03-03T23:57:55.244+0300: 78.748: [GC (Allocation Failure) [PSYoungGen: 165856K->1760K(169472K)] 293878K->131214K(519168K), 0.0203928 secs] [Times: user=0.19 sys=0.00, real=0.02 secs] 
2018-03-03T23:57:55.337+0300: 78.841: [GC (Allocation Failure) [PSYoungGen: 166112K->1792K(169984K)] 295566K->132934K(519680K), 0.0231085 secs] [Times: user=0.17 sys=0.00, real=0.02 secs] 
